CONTRATOS,FRENTES,TIPO,INICIO_CONF,FIN_CONF,DURACION
CW328120 vs CW328121,T03-SOC-AC14 / T03-SOC-AC13,CERCANÍA ESPACIAL,N/A,N/A,0
CW328120 vs CW328121,T03-SOC-AC14 / T03-SOC-AC15,CRÍTICO (FECHAS),2025-04-07,2025-05-22,46
CW328120 vs CW328121,T03-SOC-AC14 / T03-SOC-AC16,CRÍTICO (FECHAS),2025-04-07,2025-05-22,46
CW328121 vs CW328121,T03-SOC-AC13 / T03-SOC-AC15,CERCANÍA ESPACIAL,N/A,N/A,0
CW328121 vs CW328121,T03-SOC-AC13 / T03-SOC-AC16,CERCANÍA ESPACIAL,N/A,N/A,0
CW328121 vs CW328121,T03-SOC-AC15 / T03-SOC-AC16,CRÍTICO (FECHAS),2025-04-07,2025-06-06,61
CW328122 vs CW328122,T06-CAO-001 / T06-CAO-002,CRÍTICO (FECHAS),2025-04-23,2025-06-07,46
CW328123 vs CW328123,T01-SOC-CI02 / T01-SOC-CI03,CRÍTICO (FECHAS),2025-05-22,2025-06-15,25
CW328123 vs CW328123,T01-SOC-CI02 / T01-SOC-CI02,CRÍTICO (FECHAS),2025-06-14,2025-06-15,2
CW328123 vs CW328123,T01-SOC-CI02 / T01-SOC-AO18,CERCANÍA ESPACIAL,N/A,N/A,0
CW328123 vs CW328123,T01-SOC-CI02 / T01-SOC-AO18,CERCANÍA ESPACIAL,N/A,N/A,0
CW328123 vs CW328124,T01-SOC-CI02 / T07-SOC-AO27,CERCANÍA ESPACIAL,N/A,N/A,0
CW328123 vs CW328123,T01-SOC-CI03 / T01-SOC-CI02,CRÍTICO (FECHAS),2025-06-14,2025-06-15,2
CW328123 vs CW328123,T01-SOC-CI03 / T01-SOC-AO18,CERCANÍA ESPACIAL,N/A,N/A,0
CW328123 vs CW328123,T01-SOC-CI03 / T01-SOC-AO18,CERCANÍA ESPACIAL,N/A,N/A,0
CW328123 vs CW328124,T01-SOC-CI03 / T07-SOC-AO27,CERCANÍA ESPACIAL,N/A,N/A,0
CW328123 vs CW328123,T01-SOC-CI02 / T01-SOC-AO18,CERCANÍA ESPACIAL,N/A,N/A,0
CW328123 vs CW328123,T01-SOC-CI02 / T01-SOC-AO18,CERCANÍA ESPACIAL,N/A,N/A,0
CW328123 vs CW328124,T01-SOC-CI02 / T07-SOC-AO27,CERCANÍA ESPACIAL,N/A,N/A,0
CW328123 vs CW328123,T01-SOC-AO18 / T01-SOC-AO18,CRÍTICO (FECHAS),2025-08-23,2025-09-07,16
CW328123 vs CW328124,T01-SOC-AO18 / T07-SOC-AO27,CRÍTICO (FECHAS),2025-08-23,2025-09-07,16
CW328123 vs CW328124,T01-SOC-AO18 / T07-SOC-AO27,CRÍTICO (FECHAS),2025-08-23,2025-09-09,18
CW328124 vs CW328125,T07-SOC-AO27 / T08-SOC-AO28,CRÍTICO (FECHAS),2025-08-23,2025-09-09,18
